t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,vector.x,vector.y,vector.z
1759950518.4025166,39.580596415,1759950518.3998485,vicon/world,1759950518,399848383,-0.3398908603461963,-0.21683349308908798,0.0
1759950518.5002186,39.678298534,1759950518.4997458,vicon/world,1759950518,499745857,-0.35790835151161565,-0.2135860450120004,0.0
1759950518.6053505,39.783430294000006,1759950518.6033437,vicon/world,1759950518,603343790,-0.3762553397408696,-0.20916246758095194,0.0
1759950518.7023008,39.880380511000006,1759950518.700346,vicon/world,1759950518,700346095,-0.39302055164839195,-0.20357343921726687,0.0
1759950518.8001451,39.978224999000005,1759950518.7998123,vicon/world,1759950518,799812302,-0.40997244154993273,-0.19672156930608417,0.0
1759950518.904306,40.082385995,1759950518.903311,vicon/world,1759950518,903311057,-0.4271424263690506,-0.1949292816369513,0.0
1759950519.0031047,40.181184422,1759950519.0024486,vicon/world,1759950519,2448447,-0.44411541040166375,-0.194328631358535,0.0
1759950519.1004264,40.278506237,1759950519.0999868,vicon/world,1759950519,99986853,-0.4619284630693257,-0.19345806969667387,0.0
1759950519.2011554,40.37923535,1759950519.200453,vicon/world,1759950519,200453089,-0.4806768032757435,-0.19171203057279995,0.0
1759950519.3001788,40.478258602000004,1759950519.2997575,vicon/world,1759950519,299757535,-0.4988340514387102,-0.191111223574527,0.0
1759950519.4045515,40.582631251,1759950519.4001667,vicon/world,1759950519,400166749,-0.5165711341405104,-0.1894288144931351,0.0
1759950519.5019484,40.680028220000004,1759950519.501513,vicon/world,1759950519,501513060,-0.5353646521705069,-0.1889871744989749,0.0
1759950519.6000588,40.778138604000006,1759950519.5997643,vicon/world,1759950519,599764317,-0.5527837220140641,-0.18717363329188902,0.0
1759950519.7032113,40.881291335,1759950519.7003396,vicon/world,1759950519,700339447,-0.5705331837619643,-0.18523978805339197,0.0
1759950519.8028216,40.980901465,1759950519.8022938,vicon/world,1759950519,802293834,-0.5869554458055973,-0.18097220299788802,0.0
