t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1759950541.6915534,62.869633222000004,1759950541.6602588,vicon/world,1759950541,660258788,vicon/x500_4/x500_4,0.0965582424579748,-0.10473697905273621,0.820846777836387,-1.76934304739911e-05,0.010345312233457929,0.9742428375460889,-0.22526399555161922
1759950541.6995108,62.877590822,1759950541.670194,vicon/world,1759950541,670193804,vicon/x500_4/x500_4,0.09666820164706832,-0.1049127829251169,0.8207695458238892,3.6746259599712e-05,0.00977737470241813,0.9742514281543193,-0.22525220605559024
1759950541.71021,62.888289963000005,1759950541.6802166,vicon/world,1759950541,680216456,vicon/x500_4/x500_4,0.09679242631040959,-0.10509799771637433,0.8207327316290922,-0.001073807123281512,0.009843546725968025,0.9742247447216144,-0.2253621492137069
1759950541.7210135,62.899093564000005,1759950541.6902666,vicon/world,1759950541,690266566,vicon/x500_4/x500_4,0.09699305950513029,-0.10524835421945317,0.8208348741898212,0.0009920351215033571,0.0085387588049587,0.9744606508923792,-0.22439372835885862
1759950541.7317426,62.90982253600001,1759950541.7015817,vicon/world,1759950541,701581599,vicon/x500_4/x500_4,0.09707645071348968,-0.10544952121602193,0.8208297447389621,0.0007898107438366061,0.008595072437483088,0.9744317696194719,-0.2245177660788739
1759950541.7413013,62.919381258,1759950541.7103527,vicon/world,1759950541,710352713,vicon/x500_4/x500_4,0.09720858775432598,-0.10562034670426183,0.8208364545678488,0.00031258266998715386,0.009144423241876809,0.9743264568897726,-0.22495385575773094
1759950541.7518358,62.92991558200001,1759950541.7202127,vicon/world,1759950541,720212745,vicon/x500_4/x500_4,0.09737930299603559,-0.10581846258418498,0.8208678817004461,-8.925965890399043e-05,0.011088313417800756,0.9741620404092728,-0.22557783659726963
1759950541.7608347,62.93891459,1759950541.7303963,vicon/world,1759950541,730396255,vicon/x500_4/x500_4,0.09746551195047023,-0.10597736216790449,0.8207803149102042,7.98037540730272e-05,0.009440892554085348,0.9742840659847534,-0.22512534718987065
1759950541.7710576,62.949137326000006,1759950541.7403991,vicon/world,1759950541,740399076,vicon/x500_4/x500_4,0.09750818262630137,-0.10607694904430236,0.8206426400329994,-0.001615048434059844,0.010567009526609496,0.9741979645347401,-0.2254419123068948
1759950541.7875702,62.96565007900001,1759950541.7511451,vicon/world,1759950541,751145173,vicon/x500_4/x500_4,0.097693266835848,-0.10617393392478837,0.820670232066743,-0.0004598309035901385,0.009981134509107483,0.974290390630047,-0.22507421050711615
1759950541.792587,62.970666923,1759950541.7607253,vicon/world,1759950541,760725293,vicon/x500_4/x500_4,0.09778967733163972,-0.10624002015329877,0.8206676433761365,-0.00035734367427531374,0.009984181186951302,0.9743351222088652,-0.22488054175886427
1759950541.802671,62.980750772,1759950541.7717888,vicon/world,1759950541,771788818,vicon/x500_4/x500_4,0.09790432650195112,-0.10634397806173773,0.8206362459201894,-0.000489516424144242,0.010073042745442127,0.9743812756477043,-0.2246762645467284
1759950541.8126135,62.990693278,1759950541.7807603,vicon/world,1759950541,780760403,vicon/x500_4/x500_4,0.09801839453720376,-0.10646065472327483,0.8205720262054157,-0.0003439487839548921,0.010136600836848454,0.9744315479793838,-0.22445553975166313
1759950541.8205245,62.998604366,1759950541.7902288,vicon/world,1759950541,790228938,vicon/x500_4/x500_4,0.0981211397039039,-0.10651181458226468,0.8206022765791424,-0.0006078040034030595,0.011004915382489478,0.9744147367207201,-0.22448706705110577
1759950541.8325174,63.01059721000001,1759950541.8005822,vicon/world,1759950541,800582165,vicon/x500_4/x500_4,0.09825344875476837,-0.10662554327524698,0.8205805621095879,-0.0010445116513083828,0.01170292833632159,0.9743354221173262,-0.22479420737914294
1759950541.8420284,63.020108130000004,1759950541.8104784,vicon/world,1759950541,810478451,vicon/x500_4/x500_4,0.09832078221307186,-0.10672013567186074,0.820500056664959,-0.0005137428094451713,0.010900527659440338,0.9744643317665517,-0.22427701772548947
1759950541.8504808,63.028560627000005,1759950541.8203197,vicon/world,1759950541,820319718,vicon/x500_4/x500_4,0.0984136805698347,-0.10681597483259168,0.8204975242947037,-0.0004072696860301492,0.010964130475919763,0.9744717473030949,-0.22424191330427712
1759950541.8625908,63.040670773,1759950541.8303041,vicon/world,1759950541,830304055,vicon/x500_4/x500_4,0.09850024794815436,-0.1069658151887829,0.8204693229262452,-0.0004623616338618656,0.010897614080084581,0.9744394022800169,-0.22438555994814963
1759950541.871751,63.049830749,1759950541.8404386,vicon/world,1759950541,840438713,vicon/x500_4/x500_4,0.0986094700907866,-0.10709194210715185,0.820473406981325,-0.0006133636667932545,0.010906409002149413,0.9744707316919887,-0.22424867246735292
1759950541.880652,63.058731844,1759950541.8502514,vicon/world,1759950541,850251470,vicon/x500_4/x500_4,0.09870007612244366,-0.1072439444470955,0.8204574595597912,-0.000254664415390537,0.010202722624414302,0.9745330980337614,-0.22401133996698488
1759950541.8919811,63.070061114000005,1759950541.8602014,vicon/world,1759950541,860201439,vicon/x500_4/x500_4,0.09876045040920904,-0.10739236688463788,0.8204455764398294,-0.0006772112065757958,0.010404288710086628,0.9745285403865834,-0.22402101716895678
1759950541.9019227,63.080002522,1759950541.8708813,vicon/world,1759950541,870881319,vicon/x500_4/x500_4,0.09889920810091211,-0.10759742610873681,0.820479489241974,-0.0018358172389430676,0.011827810067456129,0.974335722297138,-0.22478130024490006
1759950541.910752,63.088832023,1759950541.8802953,vicon/world,1759950541,880295334,vicon/x500_4/x500_4,0.09894661002928705,-0.10770476084320672,0.8204779805344841,-0.0007528515480516468,0.010389353340834153,0.9745154402114526,-0.2240784490779617
1759950541.9230232,63.101103077000005,1759950541.8902943,vicon/world,1759950541,890294303,vicon/x500_4/x500_4,0.09900008474854811,-0.1078132968923541,0.8204950985467099,-0.0011868296709702474,0.011081015161743646,0.9744988800917397,-0.22411545069062658
1759950541.9369986,63.115078475000004,1759950541.900334,vicon/world,1759950541,900333799,vicon/x500_4/x500_4,0.09910484420602148,-0.10795183688736908,0.8204956540469117,-0.0008566376235559315,0.010952948636792624,0.9746017064078565,-0.2236756870002548
