t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w,roll_deg,pitch_deg,yaw_deg
1760387125.3546438,7.999787156000001,1760387121.087034,vicon/world,1760387121,87034012,vicon/x500_7/x500_7,0.0822792717699679,-0.2403140272928797,0.920247942935074,0.0026515741705954,-0.0110877054265136,0.0231657998894215,0.9996666332624472,0.2743824705415509,-1.2772785628432912,2.6519566892359
1760387125.3711228,8.016266215,1760387121.0969644,vicon/world,1760387121,96964299,vicon/x500_7/x500_7,0.082344016826153,-0.24042122865774,0.9202379475451652,0.0033087994603146,-0.0120891628164583,0.0203504592412945,0.9997143405979516,0.35096624327640014,-1.3927735374686163,2.328069124322603
1760387125.3888316,8.033974879,1760387121.1069186,vicon/world,1760387121,106918455,vicon/x500_7/x500_7,0.0825992028912226,-0.2406438078748095,0.9203509479192696,0.0033074532283105,-0.0108559837997032,0.0220385111886414,0.999692708982851,0.3515599032273099,-1.2520742213280802,2.5219530620940596
1760387125.415768,8.06091121,1760387121.1167357,vicon/world,1760387121,116735714,vicon/x500_7/x500_7,0.0827482945194178,-0.2408698316655592,0.9203480126628004,0.0033534239183576,-0.0111208668280398,0.0225767381296686,0.9996776339222766,0.35547072304646316,-1.2827294644785352,2.583518743819094
1760387125.446908,8.092051441,1760387121.1268773,vicon/world,1760387121,126877224,vicon/x500_7/x500_7,0.0829365937470037,-0.2409397948147937,0.920419830979253,0.0020035992627075,-0.0112450492697286,0.0222205973036165,0.9996878410345832,0.20094231234624776,-1.2933970804459916,2.54440049559578
1760387125.46883,8.113973168000001,1760387121.1368427,vicon/world,1760387121,136842720,vicon/x500_7/x500_7,0.0831531899538177,-0.2411980003639567,0.9205219788432456,0.0022714845267725,-0.0102227543115493,0.0232158393401199,0.9996756276193114,0.2330623592108261,-1.1771871094226611,2.6583298689359274
1760387125.4918134,8.136956908,1760387121.1467094,vicon/world,1760387121,146709355,vicon/x500_7/x500_7,0.0833102329555479,-0.2413750474807821,0.9205645690701318,0.0019977551600727,-0.0101128506202284,0.0233950036754466,0.9996731531003916,0.20178186629863945,-1.16390432212358,2.67920747533743
1760387125.5379188,8.183062138,1760387121.1572084,vicon/world,1760387121,157208338,vicon/x500_7/x500_7,0.0833983485117434,-0.2415463892310304,0.9206093309728248,0.0018910488000149,-0.0109543238369427,0.0229661160272683,0.9996744391242248,0.18784468759652947,-1.2599426373619602,2.630051654387591
1760387125.5636663,8.208809713,1760387121.166572,vicon/world,1760387121,166572185,vicon/x500_7/x500_7,0.0835505835614905,-0.2418009274060746,0.9207583933602927,0.0021186105209754,-0.0102241633133965,0.0235714304466783,0.9996676275846382,0.21512373244429972,-1.1770187402494998,2.699274736234021
1760387125.6690524,8.314195691,1760387125.575933,vicon/world,1760387125,575933005,vicon/x500_7/x500_7,0.121562218967914,-0.1819848809315565,0.8892584418056532,-0.2035006854849381,0.6202659675440819,0.7575204967543399,0.0045052758875259,81.0496330807896,18.294470014956783,-165.00711053232823
1760387125.6872294,8.332372496000001,1760387125.5873125,vicon/world,1760387125,587312353,vicon/x500_7/x500_7,0.1198388037912679,-0.2262812562460934,0.9251190489413904,-0.000133103098241,-0.0103925029130471,0.0085062109016183,0.9999098072040622,-0.0253865867875112,-1.1907416731146239,0.9750681825544114
1760387125.7020466,8.347189946,1760387125.59627,vicon/world,1760387125,596270193,vicon/x500_7/x500_7,0.1195766888678946,-0.2260347184682331,0.9250163379881832,-0.0007376534490145,-0.0119665710896724,0.0072606182324675,0.9999017654082962,-0.09450389166108222,-1.3706503283760496,0.8332031107790062
1760387125.7191174,8.364260626,1760387125.606403,vicon/world,1760387125,606403231,vicon/x500_7/x500_7,0.1195966062309855,-0.2258632213204785,0.9249212758006852,-0.0002929068856252,-0.0108790809914604,0.0078118757247278,0.9999102631736504,-0.04331057739159678,-1.2463750749873246,0.8957082355291373
1760387125.738957,8.38410032,1760387125.616655,vicon/world,1760387125,616655124,vicon/x500_7/x500_7,0.119338092222015,-0.225672049177688,0.9248272622781146,-1.0065171295340543e-05,-0.0112174980588102,0.0070540353649663,0.999912200256134,-0.010223327994042894,-1.2854174208447289,0.8085051608264059
1760387125.7760522,8.421195667000001,1760387125.6261165,vicon/world,1760387125,626116602,vicon/x500_7/x500_7,0.1192547597492932,-0.2254628335690227,0.9247034658253818,0.0001042408611156,-0.0116718243344066,0.0059438191793187,0.9999142106521504,0.003995372842663684,-1.3375702944653693,0.6811152824464387
1760387125.806506,8.451649168000001,1760387125.636139,vicon/world,1760387125,636139020,vicon/x500_7/x500_7,0.1191786585707291,-0.2253076503230441,0.9246158331199076,-0.000148647849458,-0.010565549837072,0.0069503501460188,0.9999200166479842,-0.025453056121800318,-1.2105976720553924,0.7967712471746572
1760387125.8262513,8.471394655000001,1760387125.645862,vicon/world,1760387125,645862138,vicon/x500_7/x500_7,0.1189186942987997,-0.2251214364904711,0.92451705658156,3.1755317273844136e-05,-0.0110888254346469,0.0062864313493536,0.9999187555611554,-0.0043505532448287225,-1.2707096011906134,0.7204692538112185
1760387125.8384607,8.483603997000001,1760387125.6561904,vicon/world,1760387125,656190398,vicon/x500_7/x500_7,0.1188667981141801,-0.2249074004949374,0.9243441612268886,-0.0002702886728889,-0.0111018416049743,0.0051579284873799,0.9999250331053476,-0.03754153237777397,-1.2720267025224765,0.5915108849118108
1760387125.8567991,8.501942369,1760387125.6663165,vicon/world,1760387125,666316353,vicon/x500_7/x500_7,0.1186685051534998,-0.2247335329980508,0.9243275393553132,-0.0003972638746273,-0.0112914985386394,0.0056650547588335,0.9999201225081658,-0.05286300539586097,-1.2936590899165463,0.6498091807211924
