t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1756170624.4598444,19.558267566,1756170624.392065,vicon/world,1756170624,392064965,-25460.535496305663,1762.897116984408,-469.77196419585493,0.0,0.0,0.0,1.0
1756170624.6687088,19.767131809000002,1756170624.4960115,vicon/world,1756170624,496011589,-25484.607996233608,1763.0968704034262,-473.5621220424473,0.0,0.0,0.0,1.0
1756170624.7266705,19.825093315,1756170624.6698437,vicon/world,1756170624,669843761,-25508.5753429444,1766.9225076196794,-470.5671715002646,0.0,0.0,0.0,1.0
1756170624.7934008,19.891823736000003,1756170624.7277575,vicon/world,1756170624,727757540,-0.957101368789001,0.31382072665783545,1.4419393929299116,0.0,0.0,0.0,1.0
1756170624.8532,19.951623043,1756170624.7954824,vicon/world,1756170624,795482455,-0.9550441648357268,0.3136187746861032,1.4420623067487328,0.0,0.0,0.0,1.0
1756170624.9412332,20.039656145000002,1756170624.892096,vicon/world,1756170624,892096038,-0.9503982834375856,0.3132476826577206,1.4419827288810723,0.0,0.0,0.0,1.0
1756170625.1366158,20.235038805000002,1756170624.9923272,vicon/world,1756170624,992327322,-0.9968211464992214,0.33515894155309534,1.4245063401073836,0.0,0.0,0.0,1.0
1756170625.2154226,20.313845582000003,1756170625.1343474,vicon/world,1756170625,134347462,-1.0018719164004846,0.3377452731034767,1.4223930462576955,0.0,0.0,0.0,1.0
1756170625.285948,20.384370984,1756170625.2163599,vicon/world,1756170625,216359897,-1.0081995332571794,0.32728639139509363,1.4298925192554157,0.0,0.0,0.0,1.0
1756170625.3840857,20.482508501,1756170625.2927442,vicon/world,1756170625,292744251,-1.0218177922969331,0.3292578517320637,1.4324950544827229,0.0,0.0,0.0,1.0
1756170625.4404473,20.538870204000002,1756170625.3919458,vicon/world,1756170625,391945797,-1.0243029560775232,0.32349441276612856,1.4507441982300975,0.0,0.0,0.0,1.0
1756170625.6301098,20.728532894,1756170625.4919605,vicon/world,1756170625,491960448,-1.039752553388052,0.32054219469620326,1.4409885396328637,0.0,0.0,0.0,1.0
1756170625.7216125,20.820035266,1756170625.630791,vicon/world,1756170625,630790992,-1.0484366435710726,0.3188376215266313,1.4355497444283225,0.0,0.0,0.0,1.0
1756170625.8073537,20.905776658,1756170625.7229137,vicon/world,1756170625,722913688,-1.045615115700919,0.31247730051673583,1.455381297110069,0.0,0.0,0.0,1.0
1756170625.909818,21.008241036,1756170625.809612,vicon/world,1756170625,809611960,-1.048389623579577,0.31181849868320555,1.4562666199040977,0.0,0.0,0.0,1.0
1756170626.0951118,21.193534879,1756170625.9108713,vicon/world,1756170625,910871150,-1.0386053338377783,0.31397311996332533,1.453732071614911,0.0,0.0,0.0,1.0
1756170626.1848395,21.283262472,1756170626.0964212,vicon/world,1756170626,96421351,-1.0375077485001032,0.3224057192100136,1.420438598240085,0.0,0.0,0.0,1.0
1756170626.2807958,21.379218636,1756170626.1920419,vicon/world,1756170626,192041940,-1.038332774076973,0.32276837819238047,1.4184452100515421,0.0,0.0,0.0,1.0
1756170626.3625553,21.460978251,1756170626.2921216,vicon/world,1756170626,292121574,-1.0196521180284537,0.3284284920607048,1.4145489037409862,0.0,0.0,0.0,1.0
1756170626.4511595,21.549582353,1756170626.3921432,vicon/world,1756170626,392143234,-1.0187925626081062,0.3290059371774876,1.4134297699346514,0.0,0.0,0.0,1.0
1756170626.6361036,21.734526617,1756170626.4922452,vicon/world,1756170626,492245154,-1.0051700205836442,0.3484932475325473,1.4549112661578816,0.0,0.0,0.0,1.0
1756170626.7057383,21.804161316000002,1756170626.6338909,vicon/world,1756170626,633890819,-1.0004198590166742,0.35488458926751987,1.4695880658209024,0.0,0.0,0.0,1.0
1756170626.785512,21.883934941,1756170626.7086625,vicon/world,1756170626,708662473,-1.0042630067820162,0.34946197531744083,1.437456771453625,0.0,0.0,0.0,1.0
1756170626.8631494,21.961572531,1756170626.792017,vicon/world,1756170626,792017012,-0.9981051297806256,0.3553917223483536,1.4322449430490334,0.0,0.0,0.0,1.0
1756170626.9627793,22.061202227000003,1756170626.8918924,vicon/world,1756170626,891892552,-0.9898651510031306,0.3438263227412359,1.4015161863567467,0.0,0.0,0.0,1.0
1756170627.1529975,22.251420424000003,1756170626.9919963,vicon/world,1756170626,991996279,-0.9848040285796236,0.35488592377860106,1.3953784270245315,0.0,0.0,0.0,1.0
1756170627.2194107,22.317833518,1756170627.1548405,vicon/world,1756170627,154840528,-0.9813899750241561,0.36155131906527327,1.3913810153203772,0.0,0.0,0.0,1.0
1756170627.2769911,22.375414125000002,1756170627.219697,vicon/world,1756170627,219697070,-0.989070197135435,0.3702959131410064,1.3736964044191282,0.0,0.0,0.0,1.0
1756170627.3685412,22.466964291,1756170627.291911,vicon/world,1756170627,291910905,-0.9880765637275297,0.3834208448368228,1.359001234549081,0.0,0.0,0.0,1.0
1756170627.4552445,22.553667737,1756170627.391873,vicon/world,1756170627,391872962,-0.9842642112217694,0.39613177386565335,1.3750237858496093,0.0,0.0,0.0,1.0
1756170627.6602283,22.758651226,1756170627.4922931,vicon/world,1756170627,492293184,-0.9826356173832875,0.40256172886223407,1.3693254359448728,0.0,0.0,0.0,1.0
1756170627.7330031,22.831426133,1756170627.6611478,vicon/world,1756170627,661147790,-0.9813258433162526,0.4067842764936276,1.3657545788879326,0.0,0.0,0.0,1.0
1756170627.7926354,22.891058426,1756170627.7342594,vicon/world,1756170627,734259323,-0.9804735794865568,0.40859216803693155,1.3644051581807013,0.0,0.0,0.0,1.0
1756170627.8619606,22.960383536000002,1756170627.7922702,vicon/world,1756170627,792270181,-0.9829203441773937,0.43617873824068987,1.3636954643490462,0.0,0.0,0.0,1.0
1756170627.9463425,23.044765384,1756170627.8922203,vicon/world,1756170627,892220266,-0.9788606787219583,0.4418976205499061,1.369171899183406,0.0,0.0,0.0,1.0
1756170628.151809,23.250231966,1756170627.9923208,vicon/world,1756170627,992320780,-0.977613256235227,0.44578903448291873,1.3582246748817437,0.0,0.0,0.0,1.0
1756170628.2076705,23.306093305,1756170628.1518557,vicon/world,1756170628,151855765,-0.9768211762762086,0.44870559543857125,1.352035481102544,0.0,0.0,0.0,1.0
1756170628.276647,23.375070097000002,1756170628.2089384,vicon/world,1756170628,208938277,-0.972879244183551,0.44555920645735725,1.3534321673134624,0.0,0.0,0.0,1.0
1756170628.361525,23.459948190000002,1756170628.2920058,vicon/world,1756170628,292005892,-0.9731158270868402,0.45757315231757056,1.3522909948486055,0.0,0.0,0.0,1.0
1756170628.5778162,23.676239231,1756170628.3922427,vicon/world,1756170628,392242554,-0.9748130539817992,0.4675333454461317,1.375088652897717,0.0,0.0,0.0,1.0
1756170628.6573727,23.755795733000003,1756170628.5785565,vicon/world,1756170628,578556591,-0.975826207251081,0.47440918111174746,1.3895281888929896,0.0,0.0,0.0,1.0
1756170628.7469833,23.845406253,1756170628.6594927,vicon/world,1756170628,659492793,-0.9786110134875736,0.4696435909921739,1.381244176185843,0.0,0.0,0.0,1.0
1756170628.8243861,23.922809186000002,1756170628.748352,vicon/world,1756170628,748351935,-0.9819710571920762,0.46595532416462415,1.376439538657939,0.0,0.0,0.0,1.0
1756170628.89751,23.995933107000003,1756170628.8256428,vicon/world,1756170628,825642782,-0.9823326876522886,0.46731496438784026,1.3764835631585721,0.0,0.0,0.0,1.0
1756170629.0559957,24.154418824,1756170628.8988106,vicon/world,1756170628,898810629,-0.9982134904051323,0.4617481809996944,1.3715858305672377,0.0,0.0,0.0,1.0
1756170629.1308086,24.229231674,1756170629.0573308,vicon/world,1756170629,57330872,-1.0166905972615594,0.46026846527693444,1.368083936449057,0.0,0.0,0.0,1.0
1756170629.2144363,24.312859123000003,1756170629.1322722,vicon/world,1756170629,132272172,-1.0181430725470968,0.46043320361537665,1.367801214402179,0.0,0.0,0.0,1.0
1756170629.2925725,24.390995543000002,1756170629.216021,vicon/world,1756170629,216021087,-1.0355611522862214,0.46485801108701796,1.3589321717731067,0.0,0.0,0.0,1.0
1756170629.3801284,24.478551354,1756170629.293928,vicon/world,1756170629,293927882,-1.0381276091372031,0.46550703135603033,1.3583284256242978,0.0,0.0,0.0,1.0
1756170629.5450513,24.643474319000003,1756170629.3938415,vicon/world,1756170629,393841621,-1.0514794652903587,0.4632140158382687,1.3615149598474043,0.0,0.0,0.0,1.0
1756170629.6020794,24.700502285000002,1756170629.5464215,vicon/world,1756170629,546421585,-1.0570075450887948,0.46276613473050743,1.3628275449510967,0.0,0.0,0.0,1.0
1756170629.682573,24.780996051000002,1756170629.603949,vicon/world,1756170629,603949086,-1.0615296333829567,0.44979049759055956,1.3444457276434574,0.0,0.0,0.0,1.0
1756170629.766234,24.864656901,1756170629.6926858,vicon/world,1756170629,692685865,-1.0715908787304067,0.46031181443708036,1.3656504508546587,0.0,0.0,0.0,1.0
1756170629.8678908,24.966313800000002,1756170629.7924528,vicon/world,1756170629,792452749,-1.0777979384400502,0.4564331158476773,1.3609141583333757,0.0,0.0,0.0,1.0
1756170630.0549219,25.153344798000003,1756170629.8921902,vicon/world,1756170629,892190174,-1.083913444003883,0.45230959373576507,1.3445574119279604,0.0,0.0,0.0,1.0
1756170630.1275191,25.225942146,1756170630.0574632,vicon/world,1756170630,57463261,-1.0879928578437592,0.4497554792910141,1.3347626241851873,0.0,0.0,0.0,1.0
1756170630.2103252,25.308748361000003,1756170630.1299174,vicon/world,1756170630,129917343,-1.0873589860724433,0.44591978565543,1.3474839504386087,0.0,0.0,0.0,1.0
1756170630.2848365,25.383259436000003,1756170630.2119386,vicon/world,1756170630,211938675,-1.0851820134877972,0.45261083358025456,1.333851640734504,0.0,0.0,0.0,1.0
1756170630.4643457,25.562768616000003,1756170630.292414,vicon/world,1756170630,292413991,-1.0867176397861584,0.45240901152305346,1.3321655701616795,0.0,0.0,0.0,1.0
